code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,fbref,understat,transfermarkt
78,Dango,Ouattara,Ouattara,,,,,,,,78,,,,
79,Ben,Pearson,Pearson,,,,,,,,79,,,,
80,Darren,Randolph,Randolph,,,,,,,,80,,,,
81,Joe,Rothwell,Rothwell,,,,,,,,81,,,,
82,Antoine,Semenyo,Semenyo,,,,,,,,82,,,,
83,Marcos,Senesi,Senesi,,,,,,,,83,,,,
84,Adam,Smith,Smith,,,,,,,,84,,,,
85,Dominic,Solanke,Solanke,,,,,,,,85,,,,
86,Marcus,Tavernier,Tavernier,,,,,,,,86,,,,
87,Hamed,Traorè,Traorè,,,,,,,,87,,,,
88,Mark,Travers,Travers,,,,,,,,88,,,,
89,Illia,Zabarnyi,Zabarnyi,,,,,,,,89,,,,
595,Milos,Kerkez,Kerkez,,,,,,,,595,,,,
607,Ionuț,Radu,Radu,,,,,,,,607,,,,
619,Ben,Greenwood,Greenwood,,,,,,,,619,,,,
643,Max,Aarons,Aarons,,,,,,,,643,,,,
644,Alex,Scott,Scott,,,,,,,,644,,,,
673,Tyler,Adams,Adams,,,,,,,,673,,,,
705,Luis,Sinisterra,Sinisterra,,,,,,,,705,,,,
799,Romain,Faivre,Faivre,,,,,,,,799,,,,
802,Max,Kinsey,Kinsey,,,,,,,,802,,,,
804,Enes,Ünal,Ünal,,,,,,,,804,,,,
811,Dominic,Sadi,Sadi,,,,,,,,811,,,,
849,Michael,Dacosta Gonzalez,Dacosta Gonzalez,,,,,,,,849,,,,
855,Callan,McKenna,McKenna,,,,,,,,855,,,,
90,Kristoffer,Ajer,Ajer,,,,,,,,90,,,,
91,Ellery,Balcombe,Balcombe,,,,,,,,91,,,,
92,Shandon,Baptiste,Baptiste,,,,,,,,92,,,,
93,Mads,Bech Sørensen,Bech Sørensen,,,,,,,,93,,,,
94,Mads,Bidstrup,Bidstrup,,,,,,,,94,,,,
95,Sergi,Canós Tenés,Canós Tenés,,,,,,,,95,,,,
96,Nathan,Collins,Collins,,,,,,,,96,,,,
97,Matthew,Cox,Cox,,,,,,,,97,,,,
98,Mikkel,Damsgaard,Damsgaard,,,,,,,,98,,,,
99,Josh,Dasilva,Dasilva,,,,,,,,99,,,,
100,Halil,Dervişoğlu,Dervişoğlu,,,,,,,,100,,,,
101,Mark,Flekken,Flekken,,,,,,,,101,,,,
102,Charlie,Goode,Goode,,,,,,,,102,,,,
103,Rico,Henry,Henry,,,,,,,,103,,,,
104,Aaron,Hickey,Hickey,,,,,,,,104,,,,
105,Vitaly,Janelt,Janelt,,,,,,,,105,,,,
106,Mathias,Jensen,Jensen,,,,,,,,106,,,,
107,Keane,Lewis-Potter,Lewis-Potter,,,,,,,,107,,,,
108,Bryan,Mbeumo,Mbeumo,,,,,,,,108,,,,
109,Ben,Mee,Mee,,,,,,,,109,,,,
110,Christian,Nørgaard,Nørgaard,,,,,,,,110,,,,
111,Frank,Onyeka,Onyeka,,,,,,,,111,,,,
112,Ethan,Pinnock,Pinnock,,,,,,,,112,,,,
114,Mads,Roerslev Rasmussen,Roerslev Rasmussen,,,,,,,,114,,,,
115,Kevin,Schade,Schade,,,,,,,,115,,,,
116,Thomas,Strakosha,Strakosha,,,,,,,,116,,,,
117,Ivan,Toney,Toney,,,,,,,,117,,,,
118,Ryan,Trevitt,Trevitt,,,,,,,,118,,,,
119,Yoane,Wissa,Wissa,,,,,,,,119,,,,
120,Yegor,Yarmoliuk,Yarmoliuk,,,,,,,,120,,,,
